"My Returns (RMA)","Moje zwroty (RMA)"
"My Returns","Moje zwroty"
"Track the status of your return requests","Śledź status swoich zgłoszeń zwrotu"
"Request a Return","Zgłoś zwrot"
"No return requests yet","Brak zgłoszeń zwrotu"
"If you need to return an item, click the button above to get started.","Aby zgłosić zwrot, kliknij przycisk powyżej."
"New Return Request","Nowe zgłoszenie zwrotu"
"Select Order","Wybierz zamówienie"
"Eligible","Kwalifikuje się"
"Total: ","Suma: "
"No eligible orders found","Brak kwalifikujących się zamówień"
"Only completed orders within the return window can be returned.","Tylko zrealizowane zamówienia w oknie zwrotu mogą zostać zwrócone."
"Select Items to Return","Wybierz pozycje do zwrotu"
"Loading order items...","Ładowanie pozycji zamówienia..."
"Qty to Return","Ilość do zwrotu"
"Return Reason","Powód zwrotu"
"Select reason","Wybierz powód"
"Item Condition","Stan towaru"
"Select condition","Wybierz stan"
"Resolution & Details","Rozwiązanie i szczegóły"
"Desired Resolution","Oczekiwane rozwiązanie"
"Additional Comments","Dodatkowe uwagi"
"Describe the issue or any additional details...","Opisz problem lub podaj dodatkowe informacje..."
"Attach Photos / Documents","Załącz zdjęcia / dokumenty"
"Drag & drop files here, or","Przeciągnij pliki tutaj lub"
"browse","przeglądaj"
"Max %1MB per file. Allowed: %2","Maks. %1MB na plik. Dozwolone: %2"
"Submit Return Request","Wyślij wniosek o zwrot"
"Cancel","Anuluj"
"Return Request Confirmed","Wniosek o zwrot potwierdzony"
"Return Request Received","Wniosek o zwrot otrzymany"
"RMA #%1","RMA nr %1"
"We have received your return request and our team will review it shortly.","Otrzymaliśmy Twój wniosek o zwrot. Nasz zespół wkrótce go rozpatrzy."
"You can track the progress of your return in your account.","Możesz śledzić postęp zwrotu na swoim koncie."
"View My Returns","Zobacz moje zwroty"
"Return Status Updated","Status zwrotu zaktualizowany"
"The status of your return request has been updated.","Status Twojego wniosku o zwrot został zaktualizowany."
"New Status","Nowy status"
"New","Nowy"
"Pending Review","Oczekuje na weryfikację"
"Approved","Zatwierdzony"
"Rejected","Odrzucony"
"Item in Transit","Towar w drodze"
"Item Received","Towar otrzymany"
"Resolved","Rozwiązany"
"Closed","Zamknięty"
"Cancelled","Anulowany"
"Refund","Zwrot pieniędzy"
"Exchange","Wymiana"
"Repair","Naprawa"
"Store Voucher","Bon sklepowy"
"Defective / Damaged","Wadliwy / Uszkodzony"
"Not as Described","Niezgodny z opisem"
"Wrong Size / Fit","Zły rozmiar / krój"
"Changed Mind / No Longer Needed","Zmiana decyzji / brak potrzeby"
"Wrong Item Shipped","Wysłano zły produkt"
"Missing Parts / Accessories","Brak części / akcesoriów"
"Arrived Too Late","Przyszło zbyt późno"
"Other","Inne"
"Unopened / Sealed","Nieotwarty / Zapieczętowany"
"Opened, Unused","Otwarty, nieużywany"
"Used","Używany"
"Damaged","Uszkodzony"
"Return #","Zwrot nr"
"Order #","Zamówienie nr"
"Submitted","Złożono"
"Messages","Wiadomości"
"No messages yet. Add a message below.","Brak wiadomości. Dodaj wiadomość poniżej."
"Write a message to the support team...","Napisz wiadomość do działu obsługi..."
"Send","Wyślij"
"Message sent successfully.","Wiadomość wysłana pomyślnie."
"Attachments","Załączniki"
"Return Details","Szczegóły zwrotu"
"Status","Status"
"Resolution","Rozwiązanie"
"Resolved At","Data rozwiązania"
"Your Note","Twoja notatka"
"Status History","Historia statusów"
"Return request not found.","Wniosek o zwrot nie został znaleziony."
"Back to My Returns","Powrót do moich zwrotów"
"RMA Settings","Ustawienia RMA"
"General","Ogólne"
"Enable RMA","Włącz RMA"
"Return Window (Days)","Okno zwrotu (dni)"
"Number of days from invoice date during which a return can be requested.","Liczba dni od daty faktury, w ciągu których można złożyć wniosek o zwrot."
"Max Attachment Size (MB)","Maksymalny rozmiar załącznika (MB)"
"Maximum size of a single uploaded file.","Maksymalny rozmiar pojedynczego pliku."
"Allowed File Extensions","Dozwolone rozszerzenia plików"
"Comma-separated list, e.g.: jpg,jpeg,png,gif,pdf","Lista rozdzielona przecinkami, np.: jpg,jpeg,png,gif,pdf"
"Email Notifications","Powiadomienia e-mail"
"Email Sender","Nadawca e-mail"
"RMA Created Email Template","Szablon e-mail: wniosek złożony"
"Status Changed Email Template","Szablon e-mail: zmiana statusu"
"Automation","Automatyzacja"
"Auto-Cancel After (Days)","Automatyczne anulowanie po (dniach)"
"Cancel RMAs with no customer response after this many days. Set to 0 to disable.","Anuluj wnioski bez odpowiedzi klienta po tylu dniach. Ustaw 0, aby wyłączyć."
"Returns (RMA)","Zwroty (RMA)"
"All Returns","Wszystkie zwroty"
"Return Reasons","Powody zwrotów"
"Item Conditions","Stany towarów"
"Manage Return Reasons","Zarządzaj powodami zwrotów"
"Manage Item Conditions","Zarządzaj stanami towarów"
"RMA Configuration","Konfiguracja RMA"
"RMA","Zwroty (RMA)"
"Create RMA","Utwórz RMA"
"This order is not eligible for a return.","To zamówienie nie kwalifikuje się do zwrotu."
"RMA status has been updated.","Status RMA został zaktualizowany."
"RMA has been approved.","RMA zostało zatwierdzone."
"RMA has been rejected.","RMA zostało odrzucone."
"RMA has been cancelled.","RMA zostało anulowane."
"RMA has been resolved.","RMA zostało rozwiązane."
"This RMA no longer exists.","To zgłoszenie RMA nie istnieje."
"Automatically cancelled due to no customer response within %1 days.","Automatycznie anulowane z powodu braku odpowiedzi klienta przez %1 dni."
"Hi %1,","Drogi/a %1,"
"This email was sent by %1.","Tę wiadomość wysłał %1."
"This is an automated notification from %1.","To jest automatyczne powiadomienie od %1."
"Your Return Request #%rma_increment_id has been submitted","Twój wniosek o zwrot nr %rma_increment_id został złożony"
"Your Return #%rma_increment_id Status Update","Aktualizacja statusu zwrotu nr %rma_increment_id"
"Your Return #%rma_increment_id — Shipping Label is Ready","Zwrot nr %rma_increment_id — etykieta zwrotna jest gotowa"
"Hi %customer_name,","Drogi/a %customer_name,"
"You can track the progress of your return by logging into your account.","Możesz śledzić postęp zwrotu po zalogowaniu się na swoje konto."
"You can view the latest details of your return by logging into your account.","Najnowsze szczegóły zwrotu możesz zobaczyć po zalogowaniu się na swoje konto."
"Return Request #%rma_id","Wniosek o zwrot nr %rma_id"
"Return Status Update — #%rma_id","Aktualizacja statusu zwrotu — nr %rma_id"
"Shipping Label Ready — #%rma_id","Etykieta zwrotna gotowa — nr %rma_id"
"RMA Number","Numer RMA"
"Order Number","Numer zamówienia"
"Resolution Requested","Oczekiwane rozwiązanie"
"Download Shipping Label","Pobierz etykietę zwrotną"
"Field","Pole"
"Value","Wartość"
"Invalid security token. Please refresh and try again.","Nieprawidłowy token bezpieczeństwa. Odśwież stronę i spróbuj ponownie."
"Please log in to submit a return request.","Zaloguj się, aby złożyć wniosek o zwrot."
"Please fill in all required fields.","Uzupełnij wszystkie wymagane pola."
"An error occurred. Please try again.","Wystąpił błąd. Spróbuj ponownie."
"Your return request has been submitted successfully.","Twój wniosek o zwrot został złożony pomyślnie."
"An active return request already exists for this order.","Aktywny wniosek o zwrot dla tego zamówienia już istnieje."
"Item #%1 does not belong to this order.","Pozycja nr %1 nie należy do tego zamówienia."
"Return quantity must be greater than zero.","Ilość do zwrotu musi być większa od zera."
"Return quantity (%1) cannot exceed ordered quantity (%2) for \"%3\".","Ilość do zwrotu (%1) nie może przekraczać zamówionej ilości (%2) dla \"%3\"."
"New return request received.","Otrzymano nowy wniosek o zwrot."
"A customer has submitted a new return request. Please review and process it in the admin panel.","Klient złożył nowy wniosek o zwrot. Proszę przejrzeć i przetworzyć go w panelu administracyjnym."
"New Return Request — #%rma_id","Nowy wniosek o zwrot — nr %rma_id"
"Request Details","Szczegóły wniosku"
"Customer","Klient"
"Customer Email","E-mail klienta"
"Customer Comment:","Komentarz klienta:"
"View in Admin Panel","Wyświetl w panelu administracyjnym"
"Our support team has replied to your return request. Here is their message:","Nasz zespół obsługi odpowiedział na Twój wniosek o zwrot. Oto ich wiadomość:"
"New Message — Return #%rma_id","Nowa wiadomość — Zwrot nr %rma_id"
"Message from %author_name","Wiadomość od %author_name"
"View My Return","Wyświetl mój zwrot"
"New message on your Return Request #%rma_increment_id","Nowa wiadomość dotycząca wniosku o zwrot nr %rma_increment_id"
"New Return Request #%rma_increment_id — %store_name","Nowy wniosek o zwrot nr %rma_increment_id — %store_name"
"Message cannot exceed %1 characters.","Wiadomość nie może przekraczać %1 znaków."
"This order status does not allow a return request.","Status tego zamówienia nie pozwala na złożenie wniosku o zwrot."
"Invalid RMA ID.","Nieprawidłowy identyfikator RMA."
"RMA has been rejected.","RMA zostało odrzucone."
"An error occurred while rejecting the RMA.","Wystąpił błąd podczas odrzucania RMA."
"An error occurred while cancelling the RMA.","Wystąpił błąd podczas anulowania RMA."
"An error occurred while saving the RMA.","Wystąpił błąd podczas zapisywania RMA."
"Approved %1 RMA(s).","Zatwierdzono %1 wniosk(ów) RMA."
"Cancelled %1 RMA(s).","Anulowano %1 wniosk(ów) RMA."
"%1 RMA(s) could not be approved (invalid status transition).","Nie można zatwierdzić %1 wniosk(ów) RMA (nieprawidłowe przejście statusu)."
"%1 RMA(s) could not be cancelled (already in terminal status).","Nie można anulować %1 wniosk(ów) RMA (już w końcowym statusie)."
"Are you sure you want to approve selected RMAs?","Czy na pewno chcesz zatwierdzić zaznaczone wnioski RMA?"
"Approve selected RMAs","Zatwierdź zaznaczone RMA"
"Are you sure you want to cancel selected RMAs?","Czy na pewno chcesz anulować zaznaczone wnioski RMA?"
"Cancel selected RMAs","Anuluj zaznaczone RMA"
"Approve","Zatwierdź"
"Cancelled by administrator.","Anulowane przez administratora."
"New Return Request","Nowe zgłoszenie zwrotu"
"Access denied.","Brak dostępu."
"Invalid request.","Nieprawidłowe żądanie."
"Message sent.","Wiadomość wysłana."
"Please log in.","Zaloguj się."
"Order not found.","Zamówienie nie zostało znalezione."
"This order is not eligible for a return.","To zamówienie nie kwalifikuje się do zwrotu."
"An error occurred.","Wystąpił błąd."
"Yes","Tak"
"No","Nie"
"Shipping Label","Etykieta zwrotna"
"Download PDF Label","Pobierz etykietę PDF"
"Delete Label","Usuń etykietę"
"Current Label:","Aktualna etykieta:"
"Print Return Slip","Drukuj slip zwrotny"
"Return Slip","Karta zwrotu"
"Please place this slip inside your return package.","Proszę umieścić tę kartę wewnątrz zwracanej paczki."
"Customer Details","Dane klienta"
"Order Details","Dane zamówienia"
"Returned Items","Zwracane produkty"
"Return Instructions","Instrukcja zwrotu"
"Pack the items carefully in their original packaging, ensuring all tags, parts, and manuals are included.","Zapakuj produkty ostrożnie w oryginalne opakowania, upewniając się, że wszystkie metki, części i instrukcje są dołączone."
"Place this printed Return Slip inside the parcel so our warehouse team can identify and process your return quickly.","Umieść tę wydrukowaną kartę zwrotu wewnątrz paczki, aby nasz zespół magazynowy mógł szybko zidentyfikować i przetworzyć Twój zwrot."
"Seal the parcel securely and paste the Return Address Label (shown below) or your prepaid shipping label on the outside.","Zabezpiecz i zamknij paczkę, a na zewnątrz naklej etykietę z adresem zwrotnym (pokazaną poniżej) lub przedpłaconą etykietę kurierską."
"Ship the package through your preferred courier. We recommend using a trackable shipping method.","Wyślij paczkę za pośrednictwem wybranego kuriera. Zalecamy skorzystanie z przesyłki rejestrowanej z możliwością śledzenia."
"Cut along the dashed line and stick to the package","Wytnij wzdłuż przerywanej linii i naklej na paczkę"
"Return To:","Adresat zwrotu:"
"Please select a valid PDF file.","Wybierz prawidłowy plik PDF."
"Only PDF files are allowed for shipping labels.","Tylko pliki PDF są dozwolone jako etykiety zwrotne."
"Invalid PDF file uploaded.","Wgrano nieprawidłowy plik PDF."
"File size cannot exceed 10MB.","Rozmiar pliku nie może przekraczać 10MB."
"Shipping label has been uploaded successfully.","Etykieta zwrotna została pomyślnie wgrana."
"An error occurred while uploading the shipping label.","Wystąpił błąd podczas wgrywania etykiety zwrotnej."
"Shipping label has been deleted.","Etykieta zwrotna została usunięta."
"Cancel Return","Anuluj zwrot"
"Cancelling...","Anulowanie..."
"Are you sure you want to cancel this return request? This action cannot be undone.","Czy na pewno chcesz anulować ten wniosek o zwrot? Tej operacji nie można cofnąć."
"Cancellation of return requests is not allowed.","Anulowanie wniosków o zwrot nie jest dozwolone."
"Your return request has been cancelled.","Twój wniosek o zwrot został anulowany."
"Cancelled by customer.","Anulowane przez klienta."
"Product \"%1\" (SKU: %2) cannot be returned.","Produkt \"%1\" (SKU: %2) nie może zostać zwrócony."
"Allow Customers to Cancel Their RMA","Zezwalaj klientom na anulowanie swoich wniosków RMA"
"When enabled, customers can cancel their own return request from the account page (only non-terminal statuses).","Po włączeniu klienci mogą anulować własny wniosek o zwrot ze strony konta (tylko statusy nie-końcowe)."
"Excluded Product SKUs","Wykluczone SKU produktów"
"Comma-separated list of product SKUs that cannot be returned (e.g. GIFT-CARD,DOWNLOAD-123). Leave empty for no exclusions.","Lista SKU produktów oddzielona przecinkami, które nie mogą być zwracane (np. GIFT-CARD,DOWNLOAD-123). Pozostaw puste, aby nie wykluczać żadnych produktów."
"This product cannot be returned.","Ten produkt nie może zostać zwrócony."
"The return window for this item has expired.","Okno zwrotu dla tej pozycji wygasło."
"The return window for product \"%1\" has expired.","Okno zwrotu dla produktu \"%1\" wygasło."
"RMA Return Policy","Polityka zwrotów RMA"
"Use Global Return Window","Użyj globalnego okna zwrotu"
"Return Policies","Polityki zwrotów"
"Manage Return Policies","Zarządzaj politykami zwrotów"
"Add New Policy","Dodaj nową politykę"
"Delete Policy","Usuń politykę"
"Are you sure you want to delete policy \"%1\"?","Czy na pewno chcesz usunąć politykę \"%1\"?"
"Policy Name","Nazwa polityki"
"Days for Refund","Dni na zwrot gotówki"
"Days for Exchange","Dni na wymianę"
"Days for Repair","Dni na naprawę"
"Days for Voucher","Dni na voucher"
"Terms and Conditions","Warunki polityki zwrotu"
"Edit Return Policy \"%1\"","Edytuj politykę zwrotów \"%1\""
"New Return Policy","Nowa polityka zwrotów"
"You saved the return policy.","Polityka zwrotów została zapisana."
"Something went wrong while saving the return policy.","Coś poszło nie tak podczas zapisywania polityki zwrotów."
"This return policy no longer exists.","Ta polityka zwrotów już nie istnieje."
"We can't find a return policy to delete.","Nie można odnaleźć polityki zwrotów do usunięcia."
"You have deleted the return policy.","Polityka zwrotów została usunięta."
"Return Addresses","Adresy zwrotne"
"Manage Return Addresses","Zarządzaj adresami zwrotnymi"
"Add New Address","Dodaj nowy adres"
"Delete Address","Usuń adres"
"Are you sure you want to delete address \"%1\"?","Czy na pewno chcesz usunąć adres \"%1\"?"
"Address Name / Label","Nazwa adresowa / Etykieta"
"Street Address","Adres (ulica)"
"City","Miasto"
"Postal Code","Kod pocztowy"
"Country","Kraj"
"Phone Number","Numer telefonu"
"Is Default Return Address","Czy jest to domyślny adres zwrotny"
"Edit Return Address \"%1\"","Edytuj adres zwrotny \"%1\""
"New Return Address","Nowy adres zwrotny"
"You saved the return address.","Adres zwrotny został zapisany."
"Something went wrong while saving the return address.","Coś poszło nie tak podczas zapisywania adresu zwrotnego."
"This return address no longer exists.","Ten adres zwrotny już nie istnieje."
"We can't find a return address to delete.","Nie można odnaleźć adresu zwrotnego do usunięcia."
"You have deleted the return address.","Adres zwrotny został usunięty."

